source,beneficiary_name,project_name,total_amount,project_status,amount,amount_kind,approval_date,beneficiary_address,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank_amount,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,internal_id,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_description,project_id,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Ringana  GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,1354800,paid out,1354800,total_amount,,,,ÃSTERREICH,AT,,Gmbh ringana,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1826,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Ringana  GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,704000,paid out,704000,total_amount,,,,ÃSTERREICH,AT,,Gmbh ringana,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1827,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Ringana GmbH + Ringana Holding GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,23141000,paid out,23141000,total_amount,,,,ÃSTERREICH,AT,,+ gmbh holding ringana,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1828,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RML Regionalamangement Bezirk Liezen GmbH,MaÃnahme / Projekt zur Mobilisierung der regionalen Poteniale,10000000,commited,10000000,total_amount,,,,ÃSTERREICH,AT,,Bezirk gmbh liezen regionalamangement rml,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1829,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROCKMORE International GmbH.,Unternehmensinvestition mit Forschungs-/Technologiebezug,117665280,paid out,117665280,total_amount,,,,ÃSTERREICH,AT,,Gmbh intl rockmore,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1830,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rogner Geothermie GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,6347000,paid out,6347000,total_amount,,,,ÃSTERREICH,AT,,Geothermie gmbh rogner,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1831,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Roland Puffer,ESF cross-financing,1152000,paid out,1152000,total_amount,,,,ÃSTERREICH,AT,,Puffer roland,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1832,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Roland Puffer,Innovationsdienstleistung fÃ¼r Unternehmen,120000,paid out,120000,total_amount,,,,ÃSTERREICH,AT,,Puffer roland,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1833,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rominger GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,312000,paid out,312000,total_amount,,,,ÃSTERREICH,AT,,Gmbh rominger,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1834,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Maschinen GmbH,Betriebliches Forschungs- und Entwicklungsprojekt,9545200,paid out,9545200,total_amount,,,,ÃSTERREICH,AT,,Gmbh maschinen rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1835,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Maschinen GmbH,Unternehmensinvestition mit Forschungs-/Technologiebezug,35756389,paid out,35756389,total_amount,,,,ÃSTERREICH,AT,,Gmbh maschinen rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1836,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Nextrom GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,1500000,paid out,1500000,total_amount,,,,ÃSTERREICH,AT,,Gmbh nextrom rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1837,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Nextrom GmbH,ESF cross-financing,1767902,paid out,1767902,total_amount,,,,ÃSTERREICH,AT,,Gmbh nextrom rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1838,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Nextrom GmbH,ESF cross-financing,429573,commited,429573,total_amount,,,,ÃSTERREICH,AT,,Gmbh nextrom rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1839,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rosendahl Nextrom GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,173258,paid out,173258,total_amount,,,,ÃSTERREICH,AT,,Gmbh nextrom rosendahl,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1840,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Roswitha Zitz,Innovationsdienstleistung fÃ¼r Unternehmen,1135000,paid out,1135000,total_amount,,,,ÃSTERREICH,AT,,Roswitha zitz,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1841,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROTO FRANK AUSTRIA GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,570000,paid out,570000,total_amount,,,,ÃSTERREICH,AT,,Austria frank gmbh roto,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1842,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Roto Frank Austria GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,2367240,paid out,2367240,total_amount,,,,ÃSTERREICH,AT,,Austria frank gmbh roto,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1843,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROTOWASH Reinigungsmaschinenfabrik GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,294000,paid out,294000,total_amount,,,,ÃSTERREICH,AT,,Gmbh reinigungsmaschinenfabrik rotowash,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1844,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROW Regionalmanagement Obersteiermark West GmbH,MaÃnahme / Projekt zur Mobilisierung der regionalen Poteniale,3889233,paid out,3889233,total_amount,,,,ÃSTERREICH,AT,,Gmbh obersteiermark regionalmanagement row west,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1845,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROW Regionalmanagement Obersteiermark West GmbH,MaÃnahme / Projekt zur Mobilisierung der regionalen Poteniale,8000000,commited,8000000,total_amount,,,,ÃSTERREICH,AT,,Gmbh obersteiermark regionalmanagement row west,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1846,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROW Regionalmanagement Obersteiermark West GmbH,MaÃnahme / Projekt zur Mobilisierung der regionalen Poteniale,10000000,commited,10000000,total_amount,,,,ÃSTERREICH,AT,,Gmbh obersteiermark regionalmanagement row west,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1847,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,ROW Regionalmanagement Obersteiermark West GmbH.,MaÃnahme / Projekt zur Mobilisierung der regionalen Poteniale,8149431,paid out,8149431,total_amount,,,,ÃSTERREICH,AT,,Gmbh obersteiermark regionalmanagement row west,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1848,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RPD Rapid Product Development GmbH,Unternehmensinvestition mit Innovationsbezug,26985452,commited,26985452,total_amount,,,,ÃSTERREICH,AT,,Development gmbh product rapid rpd,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1849,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rubikon Werbeagentur GmbH,ESF cross-financing,314400,paid out,314400,total_amount,,,,ÃSTERREICH,AT,,Gmbh rubikon werbeagentur,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1850,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rubikon Werbeagentur GmbH,ESF cross-financing,504000,paid out,504000,total_amount,,,,ÃSTERREICH,AT,,Gmbh rubikon werbeagentur,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1851,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rubikon Werbeagentur GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,820000,paid out,820000,total_amount,,,,ÃSTERREICH,AT,,Gmbh rubikon werbeagentur,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1852,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rubikon Werbeagentur GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,616000,paid out,616000,total_amount,,,,ÃSTERREICH,AT,,Gmbh rubikon werbeagentur,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1853,,,,,,,,,,,,,
